contrast,Budget,Fold,Replica,n_instance_seed_pairs,median_delta,mean_delta
online_minus_frozen_g50,50,3,2,20,0.0,0.0
online_minus_frozen_g50,50,3,3,20,0.0,0.0
online_minus_frozen_g50,50,3,4,20,0.0,0.0
online_minus_frozen_g50,50,4,0,20,0.0,-0.0002044286188066069
online_minus_frozen_g50,50,4,1,20,0.0,0.0
online_minus_frozen_g50,50,4,2,20,0.0,0.0
online_minus_frozen_g50,50,4,3,20,0.0,0.0
online_minus_frozen_g50,50,4,4,20,0.0,0.0
online_minus_frozen_g50,50,5,0,20,0.0,0.0
online_minus_frozen_g50,50,5,1,20,0.0,0.0
online_minus_frozen_g50,50,5,2,20,0.0,0.0
online_minus_frozen_g50,50,5,3,20,0.0,0.0
online_minus_frozen_g50,50,5,4,20,0.0,0.0
online_minus_frozen_g100,100,1,0,20,0.0,0.0
online_minus_frozen_g100,100,1,1,20,0.0,0.0006388098006625209
online_minus_frozen_g100,100,1,2,20,0.0,0.0039033369572501475
online_minus_frozen_g100,100,1,3,20,0.0,-0.0035133334927879402
online_minus_frozen_g100,100,1,4,20,0.0,0.007026801940062738
online_minus_frozen_g100,100,2,0,20,0.0,0.0004731092170665974
online_minus_frozen_g100,100,2,1,20,0.0,-0.0011635289465261433
online_minus_frozen_g100,100,2,2,20,0.0,0.0
online_minus_frozen_g100,100,2,3,20,0.0,0.0006865596574837596
online_minus_frozen_g100,100,2,4,20,0.0,0.002018586487013435
online_minus_frozen_g100,100,3,0,20,0.0,0.0025122166735829397
online_minus_frozen_g100,100,3,1,20,0.000114009746868593,0.005317239920084443
online_minus_frozen_g100,100,3,2,20,0.0,0.003773505534586874
online_minus_frozen_g100,100,3,3,20,0.0,0.0006521881875756641
online_minus_frozen_g100,100,3,4,20,0.0,-0.0017992929674256531
online_minus_frozen_g100,100,4,0,20,-0.0008361442982876,-0.0007058157822445177
online_minus_frozen_g100,100,4,1,20,0.0,0.006678944951029752
online_minus_frozen_g100,100,4,2,20,0.0,0.0
online_minus_frozen_g100,100,4,3,20,0.0,-0.0027213726965054086
online_minus_frozen_g100,100,4,4,20,-0.0006599313063491707,-0.0019346583047446463
online_minus_frozen_g100,100,5,0,20,0.0,0.0021502984886778154
online_minus_frozen_g100,100,5,1,20,0.0,-0.0020466049201150194
online_minus_frozen_g100,100,5,2,20,-6.072173802662562e-08,-0.0023419305430382787
online_minus_frozen_g100,100,5,3,20,0.0,-0.0012794660338451614
online_minus_frozen_g100,100,5,4,20,0.0,0.0024480608640907175
online_minus_frozen_g200,200,1,0,20,0.0,0.0008452185625227052
online_minus_frozen_g200,200,1,1,20,0.0001742185805882479,-0.0035943773078532413
online_minus_frozen_g200,200,1,2,20,0.01837299178649926,0.028626913225710038
online_minus_frozen_g200,200,1,3,20,0.0016140690467746355,0.000840347117696022
online_minus_frozen_g200,200,1,4,20,-0.0028799465799734802,-0.0009889515393754877
