Fold,dataset,instance,Budget,contrast,front_extreme,absolute_change,comparator_extreme,relative_change_percent
1,Hurink_edata,la05.fjs,200,online_minus_scratch,best_workload_imbalance,2.842170943040401e-14,125.99999999999969,2.2556912246352442e-14
1,Hurink_edata,la10.fjs,50,online_minus_scratch,best_workload_imbalance,-3.9999999999998863,93.99999999999977,-4.25531914893606
1,Hurink_edata,la10.fjs,100,online_minus_scratch,best_workload_imbalance,0.0,89.99999999999977,0.0
1,Hurink_edata,la10.fjs,200,online_minus_scratch,best_workload_imbalance,0.0,89.99999999999977,0.0
1,Hurink_edata,la15.fjs,50,online_minus_scratch,best_workload_imbalance,0.0,33.49999999999943,0.0
1,Hurink_edata,la15.fjs,100,online_minus_scratch,best_workload_imbalance,0.0,33.49999999999932,0.0
1,Hurink_edata,la15.fjs,200,online_minus_scratch,best_workload_imbalance,0.4999999999997726,32.999999999999545,1.515151515150847
1,Hurink_edata,la16.fjs,50,online_minus_scratch,best_workload_imbalance,0.0,161.9999999999995,0.0
1,Hurink_edata,la16.fjs,100,online_minus_scratch,best_workload_imbalance,8.526512829121202e-14,161.99999999999935,5.263279524148912e-14
1,Hurink_edata,la16.fjs,200,online_minus_scratch,best_workload_imbalance,5.684341886080802e-14,161.99999999999932,3.508853016099275e-14
1,Hurink_edata,la24.fjs,50,online_minus_scratch,best_workload_imbalance,0.0,229.9999999999993,0.0
1,Hurink_edata,la24.fjs,100,online_minus_scratch,best_workload_imbalance,0.0,229.9999999999993,0.0
1,Hurink_edata,la24.fjs,200,online_minus_scratch,best_workload_imbalance,8.526512829121202e-14,229.9999999999992,3.7071794909222745e-14
1,Hurink_edata,la26.fjs,50,online_minus_scratch,best_workload_imbalance,1.1368683772161603e-13,85.99999999999955,1.32193997350717e-13
1,Hurink_edata,la26.fjs,100,online_minus_scratch,best_workload_imbalance,2.8421709430404007e-13,81.99999999999943,3.466062125659049e-13
1,Hurink_edata,la26.fjs,200,online_minus_scratch,best_workload_imbalance,3.410605131648481e-13,81.99999999999926,4.159274550790868e-13
1,Hurink_edata,la34.fjs,50,online_minus_scratch,best_workload_imbalance,1.7053025658242404e-13,406.99999999999943,4.1899325941627586e-14
1,Hurink_edata,la34.fjs,100,online_minus_scratch,best_workload_imbalance,1.1368683772161603e-13,406.9999999999991,2.7932883961085083e-14
1,Hurink_edata,la34.fjs,200,online_minus_scratch,best_workload_imbalance,2.2737367544323206e-13,406.99999999999886,5.58657679221702e-14
1,Hurink_edata,la37.fjs,50,online_minus_scratch,best_workload_imbalance,0.0,213.99999999999943,0.0
1,Hurink_edata,la37.fjs,100,online_minus_scratch,best_workload_imbalance,5.684341886080802e-14,213.99999999999937,2.65623452620599e-14
