experiment,dataset,instance,seed,budget,bc_samples,observed_actions,majority_action_share,normalized_label_entropy,bc_final_training_accuracy,bc_accuracy_minus_majority
E1,Brandimarte,Mk09.fjs,46,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk09.fjs,47,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk09.fjs,48,100,70,10,0.11428571428571428,0.9991106451708882,0.2571428716182709,0.1428571573325566
E1,Brandimarte,Mk09.fjs,49,100,70,10,0.11428571428571428,0.9991106451708882,0.342857152223587,0.2285714379378727
E1,Brandimarte,Mk09.fjs,50,100,70,10,0.11428571428571428,0.9991106451708882,0.2571428716182709,0.1428571573325566
E1,Brandimarte,Mk09.fjs,51,100,70,10,0.11428571428571428,0.9991106451708882,0.3000000119209289,0.18571429763521463
E1,Brandimarte,Mk10.fjs,42,100,70,10,0.11428571428571428,0.9982212903417764,0.3142857253551483,0.20000001106943405
E1,Brandimarte,Mk10.fjs,43,100,68,10,0.11764705882352941,0.9983094997144727,0.2205882370471954,0.102941178223666
E1,Brandimarte,Mk10.fjs,44,100,69,10,0.11594202898550725,0.9986702666613445,0.304347813129425,0.18840578414391773
E1,Brandimarte,Mk10.fjs,46,100,70,10,0.11428571428571428,0.9991106451708882,0.2571428716182709,0.1428571573325566
E1,Brandimarte,Mk10.fjs,45,100,70,10,0.11428571428571428,0.9991106451708882,0.3000000119209289,0.18571429763521463
E1,Brandimarte,Mk10.fjs,47,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk10.fjs,48,100,64,10,0.109375,0.993964326327756,0.359375,0.25
E1,Brandimarte,Mk10.fjs,49,100,69,10,0.11594202898550725,0.9986702666613445,0.3478260934352875,0.23188406444978021
E1,Brandimarte,Mk10.fjs,50,100,70,10,0.11428571428571428,0.9991106451708882,0.3000000119209289,0.18571429763521463
E1,Brandimarte,Mk10.fjs,51,100,70,10,0.11428571428571428,0.9991106451708882,0.3285714387893677,0.2142857245036534
E1,Hurink_edata,la01.fjs,42,100,39,10,0.1282051282051282,0.9958015991500628,0.3846153914928436,0.2564102632877154
