dataset,instance,variant,HV_common,Cmax_best,TEC_best,WB_best,NSol,Time,Transition_gen,PPO_update_count,BC_final_accuracy,Entropy_last20,seed_count
Brandimarte,Mk10.fjs,PPOOnly,0.7864762611992273,600.2829906281448,22917.00308259138,223.5,26.5,122.64431369304658,-1.0,7.0,0.0,0.9020181229336985,10
Brandimarte,Mk10.fjs,ProbabilityMatching,0.8275073422332587,580.6475565219131,22766.168977241097,225.99999999999997,27.5,120.15886116027832,-1.0,0.0,0.0,0.8496794039448168,10
Brandimarte,Mk10.fjs,Random,0.7783257649113399,597.221587486275,22664.66653992184,223.0,28.5,121.96462023258209,-1.0,0.0,0.0,0.9163180601660434,10
Brandimarte,Mk10.fjs,RandomUCBPPO,0.8867427162897283,581.1460100438603,22533.087625163746,221.0,29.5,122.5138531923294,55.5,3.5,0.370163694024086,0.8175846205488879,10
Brandimarte,Mk10.fjs,UCBOnly,0.9329855862385057,580.4817661638076,22432.216526799268,220.0,27.0,122.171138048172,-1.0,0.0,0.0,0.9886378109248468,10
Brandimarte,Mk10.fjs,UniformFixed,0.8058198129073675,594.94149490788,22599.734358798374,224.0,19.5,121.8669319152832,-1.0,0.0,0.0,0.9999999999999998,10
Hurink_edata,la01.fjs,AdaptiveNoBC,1.119288131040539,814.3178879178535,24323.24927832866,71.99999999999972,16.5,43.759312868118286,68.0,2.0,0.0,0.907699217471275,10
Hurink_edata,la01.fjs,AdaptivePursuit,0.8819373730544414,857.1999789930867,24970.549568155868,71.99999999999966,12.0,40.54651141166687,-1.0,0.0,0.0,0.2964412110158448,10
Hurink_edata,la01.fjs,AdaptiveSAOS,1.0772796087060266,823.0530562289632,24436.30343409709,71.99999999999966,16.0,43.58300220966339,68.0,2.0,0.30227744579315186,0.817584620548888,10
Hurink_edata,la01.fjs,FixedUCBPPO,1.0923453146566413,810.3818891775802,24377.88915785396,71.99999999999972,12.5,43.55788373947144,48.0,4.0,0.3645833283662796,0.7825520889957671,10
Hurink_edata,la01.fjs,PPOOnly,1.1286783909963545,785.9346683643564,24413.71237481561,71.99999999999966,14.5,43.49572467803955,-1.0,7.0,0.0,0.9020181229336985,10
Hurink_edata,la01.fjs,ProbabilityMatching,1.1416896364554687,802.4962665768677,24265.913750728705,71.99999999999972,12.0,42.54638123512268,-1.0,0.0,0.0,0.8561120610332472,10
Hurink_edata,la01.fjs,Random,1.1535191979669341,783.3698389296642,24258.272762606044,71.99999999999966,14.0,43.51204562187195,-1.0,0.0,0.0,0.9163180601660434,10
Hurink_edata,la01.fjs,RandomUCBPPO,1.10971461477223,819.925400755068,24319.743211301335,71.99999999999972,13.0,43.31529223918915,55.5,3.5,0.3541666716337204,0.7976035887789662,10
Hurink_edata,la01.fjs,UCBOnly,1.117294568729284,814.016777985351,24328.478046184235,71.99999999999966,14.5,42.81973624229431,-1.0,0.0,0.0,0.9886378109248468,10
Hurink_edata,la01.fjs,UniformFixed,1.0691629787821988,807.7715804617865,24374.241729705092,71.99999999999966,19.0,43.58862924575806,-1.0,0.0,0.0,0.9999999999999998,10
Hurink_edata,la02.fjs,AdaptiveNoBC,1.0529696870112717,820.5500960634483,21756.925002930642,171.9999999999997,29.0,43.8816043138504,60.0,3.0,0.0,0.895585465845268,10
Hurink_edata,la02.fjs,AdaptivePursuit,0.9160016409961627,868.8869089529339,22080.903991235355,171.99999999999972,31.0,40.81886124610901,-1.0,0.0,0.0,0.3632962806725317,10
Hurink_edata,la02.fjs,AdaptiveSAOS,1.0094087410542445,833.9404030475916,21783.759509043055,171.9999999999997,28.5,44.37128388881683,60.0,3.0,0.3343889713287353,0.8267606240177031,10
Hurink_edata,la02.fjs,FixedUCBPPO,1.06090272314714,821.846768141671,21839.120723180306,171.99999999999966,29.0,44.42786145210266,48.0,4.0,0.375,0.8410605612500482,10
Hurink_edata,la02.fjs,PPOOnly,1.0206482145551363,827.4692625847334,21786.64335303832,171.99999999999966,29.0,44.24657189846039,-1.0,7.0,0.0,0.9020181229336985,10
Hurink_edata,la02.fjs,ProbabilityMatching,0.9943765638968477,851.4290266557837,21920.491231597072,171.99999999999966,22.0,43.32507026195526,-1.0,0.0,0.0,0.8568636235841012,10
Hurink_edata,la02.fjs,Random,1.0556666414892606,828.7831593096189,21809.323054995086,171.9999999999996,31.5,43.785696387290955,-1.0,0.0,0.0,0.9163180601660434,10
Hurink_edata,la02.fjs,RandomUCBPPO,1.0259910201484028,834.4838730876411,21794.81422101253,171.9999999999997,30.5,43.92754828929901,55.5,3.5,0.3307291716337204,0.830449934725749,10
Hurink_edata,la02.fjs,UCBOnly,1.030706907189975,837.4863689411635,21806.673895349333,171.9999999999997,36.0,43.903791666030884,-1.0,0.0,0.0,0.9886378109248468,10
Hurink_edata,la02.fjs,UniformFixed,1.065012408400614,835.5848445337098,21630.871763532978,171.99999999999966,34.5,44.03903424739838,-1.0,0.0,0.0,0.9999999999999998,10
Hurink_edata,la03.fjs,AdaptiveNoBC,1.0939571366843297,713.8589801710548,19723.604408773987,86.99999999999974,36.0,44.0966454744339,62.0,2.5,0.0,0.9093967443497901,10
Hurink_edata,la03.fjs,AdaptivePursuit,0.9448855804816525,757.7011398300523,19932.987150290748,86.99999999999977,24.5,40.44831335544586,-1.0,0.0,0.0,0.2964412110158448,10
Hurink_edata,la03.fjs,AdaptiveSAOS,1.0739145139047785,719.093939544905,19684.056781367857,86.99999999999972,29.5,44.00629210472107,62.0,2.5,0.32500000298023224,0.8343129968339213,10
Hurink_edata,la03.fjs,FixedUCBPPO,1.0882639902707765,719.9398230906816,19685.48055491405,86.99999999999974,36.5,43.94284784793854,48.0,4.0,0.3854166716337204,0.8260090614668492,10
Hurink_edata,la03.fjs,PPOOnly,1.0504435413073783,724.3595695453823,19745.870045416224,86.99999999999977,28.5,43.81263983249664,-1.0,7.0,0.0,0.9020181229336985,10
Hurink_edata,la03.fjs,ProbabilityMatching,1.0269634811096378,725.5405551260144,19900.082579290487,86.99999999999977,17.0,43.091081738471985,-1.0,0.0,0.0,0.8568636235841012,10
Hurink_edata,la03.fjs,Random,1.0249002123904303,728.8250926301571,19780.094054262285,86.99999999999977,32.0,44.16231107711792,-1.0,0.0,0.0,0.9163180601660434,10
Hurink_edata,la03.fjs,RandomUCBPPO,1.0973284358324527,716.5569708099183,19718.558050898308,86.99999999999972,22.5,43.63297367095947,55.5,3.5,0.3633609712123871,0.8203279669292725,10
Hurink_edata,la03.fjs,UCBOnly,1.0787790944766744,716.5125929387223,19726.839332844716,86.99999999999972,31.5,43.57375884056091,-1.0,0.0,0.0,0.9829567163872702,10
Hurink_edata,la03.fjs,UniformFixed,1.0535538769916015,726.650011683921,19691.006408788257,86.99999999999972,31.5,43.69840335845947,-1.0,0.0,0.0,0.9999999999999998,10
Hurink_edata,la04.fjs,AdaptiveNoBC,1.0716280107215423,787.1222777450494,26725.874743299028,78.99999999999966,29.0,44.00512075424194,50.0,3.5,0.0,0.9113885281793208,10
Hurink_edata,la04.fjs,AdaptivePursuit,0.9988651649600793,803.9715496458442,26915.59208643355,78.99999999999966,23.0,41.69115722179413,-1.0,0.0,0.0,0.4817280074173403,10
Hurink_edata,la04.fjs,AdaptiveSAOS,1.070355689955793,786.3464529196629,26749.594304759325,78.99999999999966,27.0,43.47451090812683,50.0,3.5,0.349021777510643,0.8447498719580941,10
Hurink_edata,la04.fjs,FixedUCBPPO,1.0968155736317182,782.3741998627547,26777.082799128242,78.99999999999963,26.0,43.68807005882263,48.0,4.0,0.3854166716337204,0.8605529342921472,10
Hurink_edata,la04.fjs,PPOOnly,1.0507662516795153,779.6619021249148,26830.66223544879,78.99999999999966,23.5,43.80253458023071,-1.0,7.0,0.0,0.9020181229336985,10
Hurink_edata,la04.fjs,ProbabilityMatching,1.080066605517692,785.5019408435669,26543.358025973183,78.99999999999966,25.5,42.913318395614624,-1.0,0.0,0.0,0.8862150605996455,10
Hurink_edata,la04.fjs,Random,1.0284554458547164,793.1383588843776,26824.956169602116,78.99999999999963,29.0,43.860979318618774,-1.0,0.0,0.0,0.9163180601660434,10
Hurink_edata,la04.fjs,RandomUCBPPO,1.100168947206729,777.9331312411666,26620.55220992435,78.99999999999966,29.0,43.49468207359314,55.5,3.5,0.3504464328289032,0.8447498719580941,10
Hurink_edata,la04.fjs,UCBOnly,1.0822866153645223,787.2639938687917,26662.23293086879,78.99999999999963,29.0,43.16546595096588,-1.0,0.0,0.0,0.9886378109248468,10
Hurink_edata,la04.fjs,UniformFixed,1.0770784135909721,783.9000044380588,26752.4584643026,78.99999999999966,17.5,43.59101927280426,-1.0,0.0,0.0,0.9999999999999998,10
Hurink_edata,la05.fjs,AdaptiveNoBC,1.1224745829220781,686.5133397922282,23267.645453242098,125.99999999999972,34.5,43.78241717815399,52.5,3.5,0.0,0.9150778388873666,10
Hurink_edata,la05.fjs,AdaptivePursuit,1.036533118108065,705.8780527706617,23620.844281321883,125.99999999999976,27.0,41.61654198169708,-1.0,0.0,0.0,0.3181417813229345,10
Hurink_edata,la05.fjs,AdaptiveSAOS,1.134550391590256,683.2210213389728,23215.044218194205,125.99999999999972,33.0,44.38592970371246,52.5,3.5,0.3826219439506531,0.8343129968339213,10
Hurink_edata,la05.fjs,FixedUCBPPO,1.1427937879658867,692.1390805533144,23193.81569695771,125.99999999999972,31.5,44.35494828224182,48.0,4.0,0.3854166716337204,0.8383172148696636,10
Hurink_edata,la05.fjs,PPOOnly,1.1403835785974596,696.9660884462912,23076.513889652124,125.99999999999969,38.0,44.182586908340454,-1.0,7.0,0.0,0.9020181229336985,10
