dataset,instance,variant,reward_scheme,seed,front_pickle_resolved,front_points_raw,front_points_unique_nondominated,pearson_cmax_tec,spearman_cmax_tec,correlation_status
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,42,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed42.pkl,28,28,0.8953011447287506,0.27371014352392375,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,51,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed51.pkl,26,26,0.9769007877196526,0.23145299145299145,computed
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,43,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed43.pkl,21,21,0.9918818618085263,0.7138681766564898,computed
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,44,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed44.pkl,13,13,0.996343298375728,0.8846153846153846,computed
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,45,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed45.pkl,18,18,0.9386749691022639,0.8101135190918473,computed
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed46.pkl,22,22,0.9125683696805641,0.7244494635798985,computed
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed47.pkl,11,11,0.9827930239038222,0.7545454545454545,computed
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed48.pkl,20,20,0.9963068581696803,0.8596166563346401,computed
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed49.pkl,15,15,0.9541246752905957,0.7935660005247562,computed
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed50.pkl,16,16,0.9861145009381188,0.8058823529411765,computed
Hurink_edata,la16.fjs,R4_survival_hv,survival_hv,51,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R4_survival_hv_survival_hv_seed51.pkl,25,25,0.9660931276863989,0.7992307692307692,computed
Hurink_edata,la16.fjs,R5_composite,composite,42,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed42.pkl,33,33,0.8965039822707018,0.2810828877005348,computed
Hurink_edata,la16.fjs,R5_composite,composite,43,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed43.pkl,12,12,0.9979341620471631,0.8811188811188813,computed
Hurink_edata,la16.fjs,R5_composite,composite,44,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed44.pkl,17,17,0.994404535817037,0.7745098039215688,computed
Hurink_edata,la16.fjs,R5_composite,composite,45,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed45.pkl,24,24,0.9384648589686442,0.4782608695652173,computed
Hurink_edata,la16.fjs,R5_composite,composite,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed46.pkl,22,22,0.9551444842926975,0.8351214003387919,computed
Hurink_edata,la16.fjs,R5_composite,composite,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed47.pkl,11,11,0.9767916584469034,0.6727272727272727,computed
Hurink_edata,la16.fjs,R5_composite,composite,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed48.pkl,38,38,0.9801547762030879,0.6837728416675785,computed
Hurink_edata,la16.fjs,R5_composite,composite,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed49.pkl,13,13,0.9813133523017009,0.7977999294270577,computed
Hurink_edata,la16.fjs,R5_composite,composite,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed50.pkl,25,25,0.9650757069125677,0.63,computed
