dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,Time,Learning_time,Transition_gen,BC_pre_accuracy,BC_final_accuracy,BC_pre_loss,BC_final_loss,BC_pre_post_KL,Demo_nn_disagreement,Demo_ucb_margin_median,Demo_forced_fraction,PPO_action_effective_updates,PPO_terminal_full_updates,PPO_terminal_residual_updates,PPO_optimizer_steps,PPO_approx_KL_mean,PPO_entropy_mean,PPO_gradient_norm_mean,PPO_explained_variance_pre_mean,Reward_HV_corr,Outside_reference_points
Brandimarte,Mk05.fjs,100,EnhancedNoBC_R16,0.9945728070044723,2.791569370237838,0.15740021182739958,219.04815490136502,6415.828997405469,2.9999999999999574,39.5,81.33112847805023,0.03875298378989095,62.0,0.0,0.0,0.0,0.0,0.0,0.8386677075201665,0.009681373834609899,0.3226645849596669,2.0,0.0,1.0,12.0,-3.023864423893747e-07,2.298340782523155,0.8675195686519146,-7.748603820800781e-06,0.5449381633551795,0.0
Brandimarte,Mk05.fjs,100,Original24BC_R16,0.9962090988958154,2.803644218365704,0.1433417874011487,219.78035386701075,6427.240233352304,2.9999999999999574,38.0,90.61839294433594,0.3836402092128992,62.0,0.1000000014901161,0.342857152223587,2.306373357772827,1.9257879853248598,0.3760974407196045,0.9246031746031746,0.009681373834609899,0.3226645849596669,2.0,0.0,1.0,12.0,-0.0011406787949713,2.1425932496786118,1.2930972849329314,0.00313518444697055,0.5617585434661125,0.0
Brandimarte,Mk05.fjs,100,Original24NoBC_R16,1.0124711644198108,2.8094305613086137,0.12779038622012884,219.13905729211643,6423.0240996542125,2.9999999999999574,40.5,80.30085170269012,0.0394251318648457,62.0,0.0,0.0,0.0,0.0,0.0,0.9246031746031746,0.009681373834609899,0.3226645849596669,2.0,0.0,1.0,12.0,-0.0001455307304112,2.29898587167263,0.7399887057642143,0.00659004598855965,0.5531603581891851,0.0
Brandimarte,Mk05.fjs,100,UCBOnly,0.9907271256106547,2.7826841661852884,0.15091378001950942,218.89952441531955,6415.076539818961,2.9999999999999574,40.5,92.02800524234772,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5463084541516088,0.0
Brandimarte,Mk05.fjs,200,EnhancedBC_R16,1.1006446091296007,2.9689574778118533,0.07827299226244833,211.11613541822646,6330.668535847931,2.9999999999999574,41.5,160.45979011058807,0.4231864670291543,62.0,0.10811688378453255,0.4409722238779068,2.3061052560806274,1.6565405130386353,1.285435438156128,0.8386677075201665,0.0133847594261169,0.3226645849596669,8.0,0.0,1.0,36.0,0.0015869538525382998,2.094948336482048,1.8898104346460767,0.00313563238490705,0.5120911095289167,0.0
Brandimarte,Mk05.fjs,200,EnhancedBC_R32,1.1059546945858356,2.980690277150375,0.08272968461681852,209.88391109752973,6342.165499311503,2.4999999999999716,52.0,172.20988190174103,0.4361269404180348,62.0,0.10811688378453255,0.4409722238779068,2.3061052560806274,1.6565405130386353,1.285435438156128,0.8386677075201665,0.0133847594261169,0.3226645849596669,4.0,0.0,1.0,20.0,0.00449203794456725,2.0662723213434218,1.6957699129978816,0.0016405507922172,0.49844811644981557,0.0
Brandimarte,Mk05.fjs,200,EnhancedBC_R8,1.0790932694115987,2.921632890348922,0.0920712046247458,210.99662613938688,6356.666340251908,2.999999999999943,54.0,160.34296250343323,0.6112257861532271,62.0,0.10811688378453255,0.4409722238779068,2.3061052560806274,1.6565405130386353,1.285435438156128,0.8386677075201665,0.0133847594261169,0.3226645849596669,17.0,0.0,0.0,70.0,0.00038123598189633253,2.055035559127205,2.2565546336327174,-0.0045071875934964995,0.5174763950381077,0.0
Brandimarte,Mk05.fjs,200,UCBOnly,1.1146113876324562,2.9889545894941287,0.08515926304636168,212.2490416780562,6326.246830467712,1.9999999999999576,55.5,162.58239221572876,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5095989427758032,0.0
Brandimarte,Mk08.fjs,100,BasePaddedBC_R16,1.043943371977229,2.83374493488156,0.06453828320656264,753.6511375811374,29189.687319308083,522.9999999999998,9.0,118.42137110233307,0.44247981207445264,62.0,0.09047619253396985,0.3000000119209289,2.303858757019043,1.9497078061103825,0.34112048149108887,0.9325526932084309,0.00841405987739555,0.3226645849596669,2.0,0.0,1.0,12.0,0.0011292712894524501,2.2221972793340683,1.1407857798039913,-0.00015205144882198126,0.48486755064045084,0.0
Brandimarte,Mk08.fjs,100,BasePaddedNoBC_R16,1.0464508704759106,2.8380598920953237,0.06580399366685186,755.5422804686168,29234.20903489967,522.9999999999998,13.0,139.52730202674866,0.0383210433647036,62.0,0.0,0.0,0.0,0.0,0.0,0.9325526932084309,0.00841405987739555,0.3226645849596669,2.0,0.0,1.0,12.0,0.00017156684771175,2.299819216132164,0.6523939718802769,0.0005526766180992,0.5055721811265328,0.0
