dataset,instance,variant,Budget,seed,normalized_min,normalized_max,coordinates_below_zero,coordinates_above_one,coordinates_above_reference,reference_dominates_front,front_points,front_path,front_sha256,outside_reference_points,inside_reference_points,outside_dimension_counts,outside_dimension_maxima,amended_fixed_box_hv_valid
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,46,2.42230478100034e-16,0.8636363636363635,0,0,0,True,86,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed46.pkl,1579f9738791e2cce21ffeeb11b73db5cfd0828b596c6aa1249909ff4b52d2fb,0,86,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,47,-0.015171368572814448,0.7272727272727274,3,0,0,True,80,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed47.pkl,e6e9007300df3934f7a2b69a82c522c54d8c1a7c6f23e9a821e27d5a24071c11,0,80,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,51,0.04545454545454575,0.8636363636363635,0,0,0,True,100,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed51.pkl,4b7ab2fbc359a6c9f12a48898e43d1c0299f34fa1b885f97f7bb09880f6201c1,0,100,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,49,3.2297397080004535e-16,0.8636363636363635,0,0,0,True,70,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed49.pkl,9f9129f872b7f2f671f55efeadcacee9bc3c55d858a47b61abb2805b519d4dc1,0,70,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,50,2.42230478100034e-16,0.8636363636363635,0,0,0,True,91,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed50.pkl,f8b9903fed0e9cc58332ef0fecf8b6ac57ab857a612a78d6e05e7364dc61acb8,0,91,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,8.074349270001134e-17,0.8636363636363635,0,0,0,True,80,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_EnhancedBC_R16_g100_seed42.pkl,09ebff90eef512bfce4cb3063a7e54bbb8e6fd18eb82891f7f309b893d9c643f,0,80,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,43,1.6148698540002268e-16,0.6363636363636365,0,0,0,True,53,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed43.pkl,b7bf03918a1a17ae06be4bd10044ae52c7d49cc4f1e0c23e6028cad814d0977b,0,53,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,48,4.84460956200068e-16,0.8636363636363635,0,0,0,True,100,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed48.pkl,cdce3c0d8eb2a1cab7e27663d7bfd5669e43cdecaa2cea7626f8d4393d6bb917,0,100,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,2.42230478100034e-16,0.6363636363636366,0,0,0,True,78,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_EnhancedBC_R16_g100_seed43.pkl,6df05f05fc2a9fbe9108216210de3e405a78f6e6d74600c2145444d511b61f3b,0,78,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,45,2.42230478100034e-16,0.7272727272727273,0,0,0,True,77,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed45.pkl,dc1d76f6020fc50c3a4352d45c7f97a2e4f131471fd060be2fb20b31a3f754ab,0,77,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
