dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,Time,CPU_time,Learning_time,Initial_evaluations,Offspring_evaluations,Transition_gen,BC_final_accuracy,BC_pre_post_KL,Demo_nn_disagreement,PPO_samples,PPO_action_effective_updates,PPO_terminal_full_updates,PPO_terminal_residual_updates,PPO_optimizer_steps,PPO_approx_KL_mean,PPO_entropy_mean,seed_count
Brandimarte,Mk09.fjs,200,EnhancedBC_R8,0.8887856847101718,2.641248818054615,0.15863926765434425,638.2229718650102,27027.172416563106,28.999999999999943,53.0,271.33720660209656,270.0788182729999,0.676976821385324,100.0,20000.0,80.0,0.395061731338501,1.129690408706665,0.8125,120.0,14.0,0.0,1.0,60.0,-0.0013976981863379,1.9920607124056136,5
Brandimarte,Mk09.fjs,200,UCBOnly,0.9224200692329764,2.67826656657746,0.11507904278444574,641.9274938342506,27060.02060045597,28.999999999999886,48.0,295.51212549209595,293.553730136,0.0,100.0,20000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Hurink_edata,la03.fjs,100,BasePaddedBC_R16,1.0941805089802399,2.942729735405008,0.08765906666887396,738.1444889976556,19642.53029289736,86.99999999999966,14.0,56.25399589538574,55.95397647300001,0.3570340406149626,100.0,10000.0,58.0,0.3050847351551056,0.504604160785675,0.9571428571428572,42.0,2.0,0.0,1.0,12.0,0.000675661356841,2.180018675327301,5
Hurink_edata,la03.fjs,100,BasePaddedNoBC_R16,1.0788482130171593,2.903834379981432,0.08730231303171004,733.5556352740667,19612.768571704204,86.99999999999972,9.0,58.13246178627014,57.88018836700007,0.042012789286673,100.0,10000.0,58.0,0.0,0.0,0.9571428571428572,42.0,2.0,0.0,1.0,12.0,0.0001486601928869,2.299364765485128,5
Hurink_edata,la03.fjs,100,EnhancedBC_R16,1.1025345149182333,2.963786349326387,0.09745500365580684,733.4730870682287,19576.932873044127,86.99999999999972,10.0,53.42858123779297,53.22019894100004,0.3535892823711037,100.0,10000.0,58.0,0.4482758641242981,1.3433576822280884,0.903846153846154,42.0,2.0,0.0,1.0,12.0,0.0043105647761236,2.2652547359466557,5
Hurink_edata,la03.fjs,100,EnhancedNoBC_R16,1.0788482130171593,2.903834379981432,0.08730231303171004,735.5908969294373,19612.768571704204,86.99999999999966,11.0,53.253628969192505,52.961463697,0.040022705681622,100.0,10000.0,58.0,0.0,0.0,0.903846153846154,42.0,2.0,0.0,1.0,12.0,0.0003319258491198,2.298605521519979,5
Hurink_edata,la03.fjs,100,UCBOnly,1.1072889040587222,2.971139334851934,0.09998692991258157,732.5925224618063,19615.727286559737,86.99999999999972,20.0,51.62049317359924,51.41128032300003,0.0,100.0,10000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Hurink_edata,la03.fjs,200,EnhancedBC_R16,1.1763284557480613,3.088093002205558,0.0710912332462998,712.1211370235719,19313.38903086222,86.99999999999966,20.0,105.1269986629486,104.592350486,0.4245101548731327,100.0,20000.0,58.0,0.4777777791023254,1.3403939008712769,0.903846153846154,142.0,8.0,0.0,1.0,36.0,2.345687428863109e-06,2.162847584486008,5
Hurink_edata,la03.fjs,200,EnhancedBC_R32,1.1726879809404134,3.0840469968960162,0.07687571148946513,690.2678641117542,19298.33272665824,86.99999999999966,35.0,106.20604944229126,105.75572064199991,0.3865846106782555,100.0,20000.0,58.0,0.4777777791023254,1.3403939008712769,0.903846153846154,142.0,4.0,0.0,1.0,20.0,0.0023522339827781,2.02113802433014,5
Hurink_edata,la03.fjs,200,EnhancedBC_R8,1.1855798194421991,3.1176094187698093,0.06235951825462711,718.247258258084,19291.12883164621,86.99999999999966,27.0,112.0933530330658,111.32913111800008,0.6183982994407415,100.0,20000.0,58.0,0.4777777791023254,1.3403939008712769,0.903846153846154,142.0,17.0,0.0,1.0,72.0,0.0013640513851795,1.8837707936763763,5
